City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
533,kigoma,-4.8769,29.6267,23.24,59,87,1.05,TZ,1722731819
534,tralee,52.2704,-9.7026,13.21,83,100,2.17,IE,1722731335
535,robore,-18.3333,-59.75,26.28,36,0,2.01,BO,1722731822
536,morant bay,17.8815,-76.4093,30.79,89,76,3.23,JM,1722731823
537,spring creek,40.7266,-115.5859,32.12,26,70,2.96,US,1722731824
538,ola,59.5833,151.2833,15.78,48,0,2.04,RU,1722731653
539,kununurra,-15.7667,128.7333,24.99,53,0,0.51,AU,1722731688
540,anloga,5.7947,0.8973,23.99,89,19,5.37,GH,1722731827
541,severo-yeniseyskiy,60.3725,93.0408,16.79,58,8,0.89,RU,1722731828
542,calvinia,-31.4707,19.776,5.32,91,97,5.22,ZA,1722731829
543,ngerengere,-6.75,38.1167,18.34,91,5,1.07,TZ,1722731831
544,ampanihy,-24.7,44.75,14.79,94,0,1.72,MG,1722731832
545,sur,22.5667,59.5289,31.16,60,100,2.57,OM,1722731833
546,mongo,12.1844,18.693,24.56,85,100,2.31,TD,1722731834
547,marat,25.0701,45.4615,30.38,17,100,3.34,SA,1722731835
548,lamu,-2.2717,40.902,23.74,82,19,5.94,KE,1722731836
549,baganga,7.5739,126.56,29.04,70,100,1.38,PH,1722731837
550,shillong,25.5689,91.8831,19.25,98,100,1.33,IN,1722731838
551,sola,-13.8833,167.55,25.37,83,100,6.17,VU,1722731817
552,swakopmund,-22.6833,14.5333,13.32,85,0,1.34,NA,1722731840
553,wotho,10.1657,166.0102,28.35,76,2,2.65,MH,1722731841
554,chaumont,48.1167,5.1333,16.87,89,73,1.16,FR,1722731740
555,brokopondo,4.75,-55.1667,27.61,75,100,2.07,SR,1722731843
556,holualoa,19.6228,-155.9522,28.08,75,0,6.69,US,1722731846
557,allen,41.0706,-85.0144,27.22,80,0,2.34,US,1722731847
558,fort bragg,35.139,-79.006,23.91,91,75,2.06,US,1722731498
559,canico,32.6333,-16.85,23.35,79,20,7.72,PT,1722731849
560,kazaure,12.6513,8.4162,23.47,79,85,5.61,NG,1722731850
561,togur,58.3631,82.8265,18.34,88,4,3.51,RU,1722731851
562,danilovka,50.3557,44.1168,18.0,51,95,1.25,RU,1722731852
563,brisas de zicatela,15.8369,-97.0419,26.11,87,100,2.07,MX,1722731645
564,bac lieu,9.285,105.7244,27.96,78,79,3.28,VN,1722731854
565,huangmei,30.1924,116.025,32.69,68,0,1.37,CN,1722731855
566,las khorey,11.1595,48.1967,30.21,62,14,4.21,SO,1722731856
567,valenca do piaui,-6.4075,-41.7456,24.78,40,52,4.37,BR,1722731857
568,onguday,50.75,86.15,17.37,70,39,0.56,RU,1722731859
569,ulsteinvik,62.3432,5.8487,15.55,93,100,1.79,NO,1722731861
570,rusk,31.796,-95.1502,33.29,43,0,0.0,US,1722731862
571,sterling,39.0062,-77.4286,23.73,94,75,4.12,US,1722731435
572,lata,40.1629,-8.3327,17.26,89,1,0.96,PT,1722731864
573,shouguang,36.88,118.7375,31.58,77,24,4.95,CN,1722731865
574,axim,4.8699,-2.2405,22.92,92,14,2.3,GH,1722731866
575,tisul',55.7611,88.3122,19.27,92,100,1.71,RU,1722731867
576,victoria point,-27.5833,153.3,20.87,60,100,2.24,AU,1722731868
577,aripuana,-9.1667,-60.6333,26.46,42,100,1.22,BR,1722731720
578,pisco,-13.7,-76.2167,17.03,82,20,4.63,PE,1722731595
579,monroe,43.1501,-77.6831,24.95,87,44,2.61,US,1722731872
580,quellon,-43.1167,-73.6167,7.32,92,100,2.77,CL,1722731873
581,la dorada,5.4478,-74.6631,25.84,85,100,1.44,CO,1722731874
582,volokolamsk,56.0336,35.9694,12.02,94,85,1.73,RU,1722731875
583,ust'-kulom,61.6864,53.6902,13.43,99,80,1.52,RU,1722731876
584,guantanamo,20.1444,-75.2092,30.76,83,100,1.03,CU,1722731877
585,saint-denis,48.9167,2.3333,20.23,87,75,2.57,FR,1722731878
586,shingu,33.7333,135.9833,30.64,68,7,2.33,JP,1722731810
587,magadan,59.5667,150.8,14.86,52,4,1.01,RU,1722731374
588,borsa,47.6553,24.6633,15.33,98,100,1.76,RO,1722731881
589,rabaul,-4.1967,152.1721,28.53,72,81,5.48,PG,1722731882
590,aizawl,23.7333,92.7167,22.27,98,99,0.67,IN,1722731883
591,tirhanimine,35.2362,-3.9545,22.94,83,40,2.06,MA,1722731885
